date,property_id,gas_usage_kwh,electricity_usage_kwh,infrared_usage_kwh,temperature,gas_cost,electricity_cost,infrared_cost,carbon_emissions_gas,carbon_emissions_electricity,carbon_emissions_infra
01/01/2024 22:00,1,28.26,20.26,14.07,16.84,1.41,3.04,1.13,5.2,4.72,1.41
01/01/2024 23:00,1,27.22,21.3,15.22,18.23,1.36,3.19,1.22,5.01,4.96,1.52
02/01/2024,1,29.32,20.77,14.04,18.83,1.47,3.12,1.12,5.39,4.84,1.4
02/01/2024 01:00,1,29.41,22.41,16.29,16.5,1.47,3.36,1.3,5.41,5.22,1.63
02/01/2024 02:00,1,32.65,20.87,13.25,16.68,1.63,3.13,1.06,6.01,4.86,1.33
02/01/2024 03:00,1,31.37,22.73,15.25,15.17,1.57,3.41,1.22,5.77,5.3,1.53
02/01/2024 04:00,1,29.94,23.18,15.68,17.39,1.5,3.48,1.25,5.51,5.4,1.57
02/01/2024 05:00,1,30.73,25.12,14.51,16.29,1.54,3.77,1.16,5.65,5.85,1.45
02/01/2024 06:00,1,32.55,24.02,16.04,17.39,1.63,3.6,1.28,5.99,5.6,1.6
02/01/2024 07:00,1,31.36,21.28,16.19,17.64,1.57,3.19,1.3,5.77,4.96,1.62
02/01/2024 08:00,1,28.23,23.32,14.5,17.97,1.41,3.5,1.16,5.19,5.43,1.45
02/01/2024 09:00,1,30.52,23.73,15.89,16.32,1.53,3.56,1.27,5.62,5.53,1.59
02/01/2024 10:00,1,31.17,22.42,14.57,17.44,1.56,3.36,1.17,5.74,5.22,1.46
02/01/2024 11:00,1,27.5,21.65,13.74,15.22,1.38,3.25,1.1,5.06,5.04,1.37
02/01/2024 12:00,1,29.5,19.89,12.68,16.15,1.48,2.98,1.01,5.43,4.63,1.27
02/01/2024 13:00,1,26.04,21.13,13.39,16.08,1.3,3.17,1.07,4.79,4.92,1.34
02/01/2024 14:00,1,27.33,20.26,11.62,14.52,1.37,3.04,0.93,5.03,4.72,1.16
02/01/2024 15:00,1,27.09,22.73,13.5,16.97,1.35,3.41,1.08,4.98,5.3,1.35
02/01/2024 16:00,1,23.14,19.91,13.11,17.14,1.16,2.99,1.05,4.26,4.64,1.31
02/01/2024 17:00,1,25.34,18.97,11.2,16.57,1.27,2.85,0.9,4.66,4.42,1.12
02/01/2024 18:00,1,25.45,21.04,12.93,17.69,1.27,3.16,1.03,4.68,4.9,1.29
02/01/2024 19:00,1,23.83,18.54,11.23,16.21,1.19,2.78,0.9,4.38,4.32,1.12
02/01/2024 20:00,1,25.64,18.26,13.67,15.56,1.28,2.74,1.09,4.72,4.25,1.37
02/01/2024 21:00,1,26.34,20.54,11.63,17.37,1.32,3.08,0.93,4.85,4.79,1.16
02/01/2024 22:00,1,25.36,19.7,14.45,16.12,1.27,2.95,1.16,4.67,4.59,1.45
02/01/2024 23:00,1,28.36,23.84,14.26,18.38,1.42,3.58,1.14,5.22,5.55,1.43
03/01/2024,1,27.22,19.7,15.67,16.42,1.36,2.95,1.25,5.01,4.59,1.57
03/01/2024 01:00,1,27.34,22.17,15,17.5,1.37,3.33,1.2,5.03,5.17,1.5
03/01/2024 02:00,1,31.36,22.74,14.29,17.17,1.57,3.41,1.14,5.77,5.3,1.43
03/01/2024 03:00,1,30.08,22.4,14.41,16.06,1.5,3.36,1.15,5.53,5.22,1.44
03/01/2024 04:00,1,33,22.95,15.93,18.42,1.65,3.44,1.27,6.07,5.35,1.59
03/01/2024 05:00,1,29.07,24.54,17.35,17.49,1.45,3.68,1.39,5.35,5.72,1.74
03/01/2024 06:00,1,31.33,24.62,14.92,16.94,1.57,3.69,1.19,5.76,5.74,1.49
03/01/2024 07:00,1,30.75,24.29,16.06,17.13,1.54,3.64,1.28,5.66,5.66,1.61
03/01/2024 08:00,1,28.39,21.93,15.45,17.53,1.42,3.29,1.24,5.22,5.11,1.54
03/01/2024 09:00,1,31.46,22.05,15.57,16.94,1.57,3.31,1.25,5.79,5.14,1.56
03/01/2024 10:00,1,30.45,22.72,14.86,13.86,1.52,3.41,1.19,5.6,5.29,1.49
03/01/2024 11:00,1,29.55,20.71,14.16,17.13,1.48,3.11,1.13,5.44,4.83,1.42
03/01/2024 12:00,1,27.91,21.17,15.88,16.48,1.4,3.18,1.27,5.14,4.93,1.59
03/01/2024 13:00,1,29.46,20.72,14.48,17.03,1.47,3.11,1.16,5.42,4.83,1.45
03/01/2024 14:00,1,26.53,18.31,14.1,17.43,1.33,2.75,1.13,4.88,4.27,1.41
03/01/2024 15:00,1,25.15,20.09,13.69,18.25,1.26,3.01,1.1,4.63,4.68,1.37
03/01/2024 16:00,1,26.31,19.75,13.86,16.12,1.32,2.96,1.11,4.84,4.6,1.39
03/01/2024 17:00,1,24.61,17.92,15.34,18.15,1.23,2.69,1.23,4.53,4.18,1.53
03/01/2024 18:00,1,21.57,18.47,11.41,17.18,1.08,2.77,0.91,3.97,4.3,1.14
03/01/2024 19:00,1,26.03,18.43,13.4,17.89,1.3,2.76,1.07,4.79,4.29,1.34
03/01/2024 20:00,1,25.57,19.4,14.17,17.77,1.28,2.91,1.13,4.7,4.52,1.42
03/01/2024 21:00,1,27.33,22.16,14.11,17.57,1.37,3.32,1.13,5.03,5.16,1.41
03/01/2024 22:00,1,27.75,18.35,14.27,15.81,1.39,2.75,1.14,5.11,4.28,1.43
03/01/2024 23:00,1,27.99,21.37,13.65,16.76,1.4,3.21,1.09,5.15,4.98,1.37
04/01/2024,1,27.87,23.64,14.04,17.39,1.39,3.55,1.12,5.13,5.51,1.4
04/01/2024 01:00,1,27.99,20.54,14.49,15.81,1.4,3.08,1.16,5.15,4.79,1.45
04/01/2024 02:00,1,30.84,23.52,15.17,16.22,1.54,3.53,1.21,5.67,5.48,1.52
04/01/2024 03:00,1,33.1,24.43,14.25,17.35,1.66,3.66,1.14,6.09,5.69,1.43
04/01/2024 04:00,1,29.54,25.22,14.21,17.53,1.48,3.78,1.14,5.44,5.88,1.42
04/01/2024 05:00,1,33.01,23.83,15.14,17.23,1.65,3.57,1.21,6.07,5.55,1.51
04/01/2024 06:00,1,34.05,21.71,16.52,15.88,1.7,3.26,1.32,6.27,5.06,1.65
04/01/2024 07:00,1,33.51,23.49,15.02,15.67,1.68,3.52,1.2,6.17,5.47,1.5
04/01/2024 08:00,1,30.25,23.9,15.46,18.28,1.51,3.58,1.24,5.57,5.57,1.55
04/01/2024 09:00,1,30.6,21.88,15.47,17.02,1.53,3.28,1.24,5.63,5.1,1.55
04/01/2024 10:00,1,27.49,23.08,16.5,16.85,1.37,3.46,1.32,5.06,5.38,1.65
04/01/2024 11:00,1,28.76,22.58,14.48,16.64,1.44,3.39,1.16,5.29,5.26,1.45
04/01/2024 12:00,1,27.63,22.1,12.41,15.57,1.38,3.32,0.99,5.08,5.15,1.24
04/01/2024 13:00,1,29.01,20.48,14.01,17.38,1.45,3.07,1.12,5.34,4.77,1.4
04/01/2024 14:00,1,25.84,19.2,14.36,16.55,1.29,2.88,1.15,4.75,4.47,1.44
04/01/2024 15:00,1,25.42,21.26,11.01,16.58,1.27,3.19,0.88,4.68,4.95,1.1
04/01/2024 16:00,1,26.08,19.12,13.27,17.7,1.3,2.87,1.06,4.8,4.45,1.33
04/01/2024 17:00,1,24.34,18.3,13.49,17.59,1.22,2.74,1.08,4.48,4.26,1.35
04/01/2024 18:00,1,23.01,18.96,12,18.16,1.15,2.84,0.96,4.23,4.42,1.2
04/01/2024 19:00,1,26.32,19.16,12.99,16.29,1.32,2.87,1.04,4.84,4.46,1.3
04/01/2024 20:00,1,23.37,19.5,13.23,17.42,1.17,2.92,1.06,4.3,4.54,1.32
04/01/2024 21:00,1,25.91,20.73,13.64,18.16,1.3,3.11,1.09,4.77,4.83,1.36
04/01/2024 22:00,1,28.7,18.47,12.36,15.65,1.44,2.77,0.99,5.28,4.3,1.24
04/01/2024 23:00,1,28.26,20.08,14.02,15.9,1.41,3.01,1.12,5.2,4.68,1.4
05/01/2024,1,29.34,23.15,13.29,15.55,1.47,3.47,1.06,5.4,5.39,1.33
05/01/2024 01:00,1,27.7,24.18,14.37,15.22,1.39,3.63,1.15,5.1,5.63,1.44
05/01/2024 02:00,1,27.99,22.56,13.46,16.76,1.4,3.38,1.08,5.15,5.26,1.35
05/01/2024 03:00,1,31.72,22.36,15.99,17.33,1.59,3.35,1.28,5.84,5.21,1.6
05/01/2024 04:00,1,29.1,21.66,15.77,17.88,1.46,3.25,1.26,5.35,5.05,1.58
05/01/2024 05:00,1,33.21,24.03,16.14,17.73,1.66,3.6,1.29,6.11,5.6,1.61
05/01/2024 06:00,1,31.85,23.89,15.61,15.68,1.59,3.58,1.25,5.86,5.57,1.56
05/01/2024 07:00,1,31.29,24.35,16.57,18.53,1.56,3.65,1.33,5.76,5.67,1.66
05/01/2024 08:00,1,31.4,22.81,15.61,16.01,1.57,3.42,1.25,5.78,5.31,1.56
05/01/2024 09:00,1,28.6,22.36,15.93,16.79,1.43,3.35,1.27,5.26,5.21,1.59
05/01/2024 10:00,1,30.61,22.63,14.95,16.26,1.53,3.39,1.2,5.63,5.27,1.5
05/01/2024 11:00,1,30.74,20.72,14.01,16.56,1.54,3.11,1.12,5.66,4.83,1.4
05/01/2024 12:00,1,27.04,18.97,13.51,16.87,1.35,2.85,1.08,4.98,4.42,1.35
05/01/2024 13:00,1,27.47,20.08,13.02,16.8,1.37,3.01,1.04,5.05,4.68,1.3
05/01/2024 14:00,1,25.77,20.21,14.6,16.66,1.29,3.03,1.17,4.74,4.71,1.46
05/01/2024 15:00,1,26.6,20.53,12.57,16.79,1.33,3.08,1.01,4.89,4.78,1.26
05/01/2024 16:00,1,25.35,19.61,12.99,16.2,1.27,2.94,1.04,4.66,4.57,1.3
05/01/2024 17:00,1,27.19,19.41,14.37,16.18,1.36,2.91,1.15,5,4.52,1.44
05/01/2024 18:00,1,23.85,19.2,12.37,15.02,1.19,2.88,0.99,4.39,4.47,1.24
05/01/2024 19:00,1,25.57,16.45,12.31,16.3,1.28,2.47,0.98,4.7,3.83,1.23
05/01/2024 20:00,1,26.06,18.45,11.45,16.17,1.3,2.77,0.92,4.8,4.3,1.15
05/01/2024 21:00,1,23.73,18.69,13.58,19.38,1.19,2.8,1.09,4.37,4.35,1.36
05/01/2024 22:00,1,26.66,19.62,14.72,15.32,1.33,2.94,1.18,4.91,4.57,1.47
05/01/2024 23:00,1,26.35,20.44,14.42,16.82,1.32,3.07,1.15,4.85,4.76,1.44
06/01/2024,1,27.53,21.72,14.14,15.11,1.38,3.26,1.13,5.07,5.06,1.41
06/01/2024 01:00,1,30.33,21.62,12.17,15.13,1.52,3.24,0.97,5.58,5.04,1.22
06/01/2024 02:00,1,31.15,20.92,15.92,16.72,1.56,3.14,1.27,5.73,4.87,1.59
06/01/2024 03:00,1,28.63,25.99,15.17,15.6,1.43,3.9,1.21,5.27,6.06,1.52
06/01/2024 04:00,1,30.85,22.36,16.63,16.6,1.54,3.35,1.33,5.68,5.21,1.66
06/01/2024 05:00,1,28.91,22.72,14.9,16.17,1.45,3.41,1.19,5.32,5.29,1.49
06/01/2024 06:00,1,32.64,24.33,15.24,15.99,1.63,3.65,1.22,6.01,5.67,1.52
06/01/2024 07:00,1,30.44,22.05,14.97,14.57,1.52,3.31,1.2,5.6,5.14,1.5
06/01/2024 08:00,1,32.48,23.85,15.3,15.37,1.62,3.58,1.22,5.98,5.56,1.53
06/01/2024 09:00,1,28.65,18.85,15.77,16.78,1.43,2.83,1.26,5.27,4.39,1.58
06/01/2024 10:00,1,31.87,23.27,15.23,17.17,1.59,3.49,1.22,5.86,5.42,1.52
06/01/2024 11:00,1,28.35,21.16,15.13,16.11,1.42,3.17,1.21,5.22,4.93,1.51
06/01/2024 12:00,1,27.32,21.56,13.62,16.6,1.37,3.23,1.09,5.03,5.02,1.36
06/01/2024 13:00,1,27.12,20.93,15.09,17.72,1.36,3.14,1.21,4.99,4.88,1.51
06/01/2024 14:00,1,25.47,22.27,13.06,18.04,1.27,3.34,1.04,4.69,5.19,1.31
06/01/2024 15:00,1,23.21,19.96,11.93,15.5,1.16,2.99,0.95,4.27,4.65,1.19
06/01/2024 16:00,1,26.07,19.73,12.09,16.48,1.3,2.96,0.97,4.8,4.6,1.21
06/01/2024 17:00,1,28.49,21,12.16,17.8,1.42,3.15,0.97,5.24,4.89,1.22
06/01/2024 18:00,1,25.81,19.19,13.19,16.13,1.29,2.88,1.06,4.75,4.47,1.32
06/01/2024 19:00,1,26.17,19.19,12.99,16.55,1.31,2.88,1.04,4.82,4.47,1.3
06/01/2024 20:00,1,28.61,19.86,13.52,16.51,1.43,2.98,1.08,5.26,4.63,1.35
06/01/2024 21:00,1,26.13,19.3,11.77,15.71,1.31,2.9,0.94,4.81,4.5,1.18
06/01/2024 22:00,1,25.78,18.58,12.89,16.15,1.29,2.79,1.03,4.74,4.33,1.29
06/01/2024 23:00,1,28.3,19.26,12.8,16.57,1.42,2.89,1.02,5.21,4.49,1.28
07/01/2024,1,28.5,21.68,13.25,16.1,1.43,3.25,1.06,5.24,5.05,1.33
07/01/2024 01:00,1,28.86,21.08,13.63,17.63,1.44,3.16,1.09,5.31,4.91,1.36
07/01/2024 02:00,1,30.37,23.94,14.02,16.04,1.52,3.59,1.12,5.59,5.58,1.4
07/01/2024 03:00,1,30.18,21.51,15.34,16.08,1.51,3.23,1.23,5.55,5.01,1.53
07/01/2024 04:00,1,29.88,21.99,15.65,17.21,1.49,3.3,1.25,5.5,5.12,1.57
07/01/2024 05:00,1,28.78,21.77,15.62,15.46,1.44,3.27,1.25,5.3,5.07,1.56
07/01/2024 06:00,1,30,24.63,13.95,16.48,1.5,3.69,1.12,5.52,5.74,1.4
07/01/2024 07:00,1,30.29,23.4,15.74,14.96,1.51,3.51,1.26,5.57,5.45,1.57
07/01/2024 08:00,1,31.48,25.61,17.77,17.68,1.57,3.84,1.42,5.79,5.97,1.78
07/01/2024 09:00,1,30.25,22.64,17.4,16.24,1.51,3.4,1.39,5.57,5.28,1.74
07/01/2024 10:00,1,28.89,21.89,13.49,16.05,1.44,3.28,1.08,5.32,5.1,1.35
07/01/2024 11:00,1,27.34,19.57,15.18,15.28,1.37,2.94,1.21,5.03,4.56,1.52
07/01/2024 12:00,1,28.64,24.59,13.32,16.51,1.43,3.69,1.07,5.27,5.73,1.33
07/01/2024 13:00,1,29.55,20.96,14.35,15.72,1.48,3.14,1.15,5.44,4.88,1.44
07/01/2024 14:00,1,26,18.3,13.55,15.98,1.3,2.74,1.08,4.78,4.26,1.36
07/01/2024 15:00,1,28.34,19.57,13.55,17.8,1.42,2.94,1.08,5.21,4.56,1.36
07/01/2024 16:00,1,25.15,18.59,13.96,16.34,1.26,2.79,1.12,4.63,4.33,1.4
07/01/2024 17:00,1,29.59,18.25,12.39,15.44,1.48,2.74,0.99,5.44,4.25,1.24
07/01/2024 18:00,1,25.12,19.76,11.54,16.68,1.26,2.96,0.92,4.62,4.6,1.15
07/01/2024 19:00,1,27.26,20.48,13.07,16.15,1.36,3.07,1.05,5.02,4.77,1.31
07/01/2024 20:00,1,26.82,18.63,14.27,17.11,1.34,2.79,1.14,4.93,4.34,1.43
07/01/2024 21:00,1,26.34,20.69,13.77,17.95,1.32,3.1,1.1,4.85,4.82,1.38
07/01/2024 22:00,1,25.54,19.19,15.88,15.52,1.28,2.88,1.27,4.7,4.47,1.59
07/01/2024 23:00,1,28.25,19.25,12.71,16.97,1.41,2.89,1.02,5.2,4.49,1.27
08/01/2024,1,30.18,20.43,14.94,16.52,1.51,3.06,1.2,5.55,4.76,1.49
08/01/2024 01:00,1,29.21,22.12,15.18,17.33,1.46,3.32,1.21,5.37,5.15,1.52
08/01/2024 02:00,1,29.74,23.09,14.08,16.2,1.49,3.46,1.13,5.47,5.38,1.41
08/01/2024 03:00,1,33.5,24.48,13.99,17.27,1.68,3.67,1.12,6.16,5.7,1.4
08/01/2024 04:00,1,29.9,21.15,15.17,14.69,1.5,3.17,1.21,5.5,4.93,1.52
08/01/2024 05:00,1,30.98,22.87,15.04,18.12,1.55,3.43,1.2,5.7,5.33,1.5
08/01/2024 06:00,1,30.63,25.93,13.83,17.3,1.53,3.89,1.11,5.64,6.04,1.38
08/01/2024 07:00,1,34.17,22.71,14.91,16.28,1.71,3.41,1.19,6.29,5.29,1.49
08/01/2024 08:00,1,32.61,23.92,15.94,14.99,1.63,3.59,1.28,6,5.57,1.59
08/01/2024 09:00,1,31.2,23.71,15.35,17.08,1.56,3.56,1.23,5.74,5.52,1.54
08/01/2024 10:00,1,29.58,23.13,14.67,16.92,1.48,3.47,1.17,5.44,5.39,1.47
08/01/2024 11:00,1,31.21,21.68,15.35,16.43,1.56,3.25,1.23,5.74,5.05,1.54
08/01/2024 12:00,1,29.8,23.54,12.49,16.59,1.49,3.53,1,5.48,5.48,1.25
08/01/2024 13:00,1,28.49,21.2,15.93,15.85,1.42,3.18,1.27,5.24,4.94,1.59
08/01/2024 14:00,1,27.03,20.72,14.35,16.8,1.35,3.11,1.15,4.97,4.83,1.44
08/01/2024 15:00,1,26.96,18.86,12.95,16.73,1.35,2.83,1.04,4.96,4.39,1.29
08/01/2024 16:00,1,23.49,16.07,12.99,16.16,1.17,2.41,1.04,4.32,3.74,1.3
08/01/2024 17:00,1,22.06,18.36,13.99,15.1,1.1,2.75,1.12,4.06,4.28,1.4
08/01/2024 18:00,1,26.7,17.64,13.9,17.14,1.33,2.65,1.11,4.91,4.11,1.39
08/01/2024 19:00,1,28.03,18.53,13.78,16.99,1.4,2.78,1.1,5.16,4.32,1.38
08/01/2024 20:00,1,25.25,18.09,13.33,15.6,1.26,2.71,1.07,4.65,4.21,1.33
08/01/2024 21:00,1,28.93,18.84,10.43,14.84,1.45,2.83,0.83,5.32,4.39,1.04
08/01/2024 22:00,1,28.27,20.71,12.73,16.64,1.41,3.11,1.02,5.2,4.83,1.27
08/01/2024 23:00,1,30.08,19.04,13.43,16.09,1.5,2.86,1.07,5.53,4.44,1.34
09/01/2024,1,30.88,22.2,15.15,16.61,1.54,3.33,1.21,5.68,5.17,1.52
09/01/2024 01:00,1,29.03,21.48,14.74,15.06,1.45,3.22,1.18,5.34,5,1.47
09/01/2024 02:00,1,30.94,23.92,15.28,15.39,1.55,3.59,1.22,5.69,5.57,1.53
09/01/2024 03:00,1,31,22.98,15.76,17.44,1.55,3.45,1.26,5.7,5.35,1.58
09/01/2024 04:00,1,29.89,23.9,16.58,16.76,1.49,3.58,1.33,5.5,5.57,1.66
09/01/2024 05:00,1,31.94,21.03,15.46,16.94,1.6,3.15,1.24,5.88,4.9,1.55
09/01/2024 06:00,1,30.97,24.51,16.55,18.17,1.55,3.68,1.32,5.7,5.71,1.66
09/01/2024 07:00,1,32.81,24.17,14.98,16.48,1.64,3.63,1.2,6.04,5.63,1.5
09/01/2024 08:00,1,31.86,22.64,16.38,14.35,1.59,3.4,1.31,5.86,5.28,1.64
09/01/2024 09:00,1,30.9,22.98,14.5,16.69,1.54,3.45,1.16,5.69,5.35,1.45
09/01/2024 10:00,1,32.25,23.34,13.74,17.52,1.61,3.5,1.1,5.93,5.44,1.37
09/01/2024 11:00,1,30.2,21.92,14.23,18.41,1.51,3.29,1.14,5.56,5.11,1.42
09/01/2024 12:00,1,31.15,21.54,13.93,14.98,1.56,3.23,1.11,5.73,5.02,1.39
09/01/2024 13:00,1,24.49,19.74,13.57,15.2,1.22,2.96,1.09,4.51,4.6,1.36
09/01/2024 14:00,1,28.44,19.79,14.71,15.65,1.42,2.97,1.18,5.23,4.61,1.47
09/01/2024 15:00,1,24.43,21.46,11.25,15.3,1.22,3.22,0.9,4.5,5,1.12
09/01/2024 16:00,1,27.03,20.98,13.38,15.71,1.35,3.15,1.07,4.97,4.89,1.34
09/01/2024 17:00,1,24.58,20.58,12.98,16.17,1.23,3.09,1.04,4.52,4.8,1.3
09/01/2024 18:00,1,25.69,18.23,13.68,15.15,1.28,2.73,1.09,4.73,4.25,1.37
09/01/2024 19:00,1,26.33,20.56,12.88,18.39,1.32,3.08,1.03,4.84,4.79,1.29
09/01/2024 20:00,1,28.32,20.12,13.61,16.46,1.42,3.02,1.09,5.21,4.69,1.36
09/01/2024 21:00,1,26.71,22.38,14.87,16.27,1.34,3.36,1.19,4.91,5.21,1.49
09/01/2024 22:00,1,29.22,19.26,13.84,16.85,1.46,2.89,1.11,5.38,4.49,1.38
09/01/2024 23:00,1,29.05,20.83,14.84,16.39,1.45,3.12,1.19,5.35,4.85,1.48
10/01/2024,1,27.41,23.18,14.67,16.14,1.37,3.48,1.17,5.04,5.4,1.47
10/01/2024 01:00,1,28.8,21.68,14.44,17.75,1.44,3.25,1.16,5.3,5.05,1.44
10/01/2024 02:00,1,25.57,23.83,16.59,16.05,1.28,3.57,1.33,4.7,5.55,1.66
10/01/2024 03:00,1,29.79,23.42,13.26,14.99,1.49,3.51,1.06,5.48,5.46,1.33
10/01/2024 04:00,1,31.74,22.42,16.3,16.66,1.59,3.36,1.3,5.84,5.22,1.63
10/01/2024 05:00,1,31.47,23.21,14.18,15.92,1.57,3.48,1.13,5.79,5.41,1.42
10/01/2024 06:00,1,30.37,24.19,17.1,15.75,1.52,3.63,1.37,5.59,5.64,1.71
10/01/2024 07:00,1,30.57,25.51,15.7,15.2,1.53,3.83,1.26,5.62,5.94,1.57
10/01/2024 08:00,1,31.54,24.24,13.99,16.7,1.58,3.64,1.12,5.8,5.65,1.4
10/01/2024 09:00,1,30.94,22.97,13.92,16.1,1.55,3.45,1.11,5.69,5.35,1.39
10/01/2024 10:00,1,26.94,21.65,12.11,16.79,1.35,3.25,0.97,4.96,5.04,1.21
10/01/2024 11:00,1,28.16,23.72,15.87,16.04,1.41,3.56,1.27,5.18,5.53,1.59
10/01/2024 12:00,1,28.69,21.73,12.29,15.61,1.43,3.26,0.98,5.28,5.06,1.23
10/01/2024 13:00,1,29.36,19.62,15.29,17.52,1.47,2.94,1.22,5.4,4.57,1.53
10/01/2024 14:00,1,24.28,19.82,13.69,16,1.21,2.97,1.1,4.47,4.62,1.37
10/01/2024 15:00,1,26.65,20.52,14.12,17.22,1.33,3.08,1.13,4.9,4.78,1.41
10/01/2024 16:00,1,24.36,20.39,15.07,15.07,1.22,3.06,1.21,4.48,4.75,1.51
10/01/2024 17:00,1,27.2,19.04,12.55,15.81,1.36,2.86,1,5,4.44,1.26
10/01/2024 18:00,1,25.24,20.27,14.69,16,1.26,3.04,1.18,4.64,4.72,1.47
10/01/2024 19:00,1,25.42,17.75,13.65,15.88,1.27,2.66,1.09,4.68,4.14,1.37
10/01/2024 20:00,1,25.04,18.29,13.56,17.62,1.25,2.74,1.08,4.61,4.26,1.36
10/01/2024 21:00,1,24.43,19.83,13.29,16.25,1.22,2.97,1.06,4.5,4.62,1.33
10/01/2024 22:00,1,25.43,18.98,12.61,16.52,1.27,2.85,1.01,4.68,4.42,1.26
10/01/2024 23:00,1,27.37,20.89,15.31,15.33,1.37,3.13,1.22,5.04,4.87,1.53
11/01/2024,1,29.67,23.28,14.67,15.46,1.48,3.49,1.17,5.46,5.42,1.47
11/01/2024 01:00,1,30.15,23.57,13.75,17.19,1.51,3.54,1.1,5.55,5.49,1.38
11/01/2024 02:00,1,32.96,24.44,16.05,17.45,1.65,3.67,1.28,6.06,5.69,1.61
11/01/2024 03:00,1,31.31,23.85,16.14,17.44,1.57,3.58,1.29,5.76,5.56,1.61
11/01/2024 04:00,1,30.63,22.73,17.8,14.81,1.53,3.41,1.42,5.64,5.3,1.78
11/01/2024 05:00,1,32.47,25.3,16.34,18.24,1.62,3.8,1.31,5.97,5.89,1.63
11/01/2024 06:00,1,31.25,24.32,16.24,17.21,1.56,3.65,1.3,5.75,5.67,1.62
11/01/2024 07:00,1,33.67,24.21,17.25,16.16,1.68,3.63,1.38,6.2,5.64,1.73
11/01/2024 08:00,1,31.48,21.17,14.57,16.9,1.57,3.18,1.17,5.79,4.93,1.46
11/01/2024 09:00,1,34.44,23.47,15.24,15.22,1.72,3.52,1.22,6.34,5.47,1.52
11/01/2024 10:00,1,26.91,20.61,14.8,15.1,1.35,3.09,1.18,4.95,4.8,1.48
11/01/2024 11:00,1,27.71,22.36,15.07,16.24,1.39,3.35,1.21,5.1,5.21,1.51
11/01/2024 12:00,1,29.99,23.02,13.66,14.99,1.5,3.45,1.09,5.52,5.36,1.37
11/01/2024 13:00,1,29.05,22.2,13.5,16.38,1.45,3.33,1.08,5.35,5.17,1.35
11/01/2024 14:00,1,27.41,19.8,13.68,17.49,1.37,2.97,1.09,5.04,4.61,1.37
11/01/2024 15:00,1,23.65,20.16,11.53,15.16,1.18,3.02,0.92,4.35,4.7,1.15
11/01/2024 16:00,1,25.09,18.76,12.58,15.45,1.25,2.81,1.01,4.62,4.37,1.26
11/01/2024 17:00,1,27.67,18.37,10.37,16.24,1.38,2.76,0.83,5.09,4.28,1.04
11/01/2024 18:00,1,27.49,19.81,11.61,15.17,1.37,2.97,0.93,5.06,4.62,1.16
11/01/2024 19:00,1,25.27,20.42,11.28,15.81,1.26,3.06,0.9,4.65,4.76,1.13
11/01/2024 20:00,1,25.74,21.4,13.57,17.06,1.29,3.21,1.09,4.74,4.99,1.36
11/01/2024 21:00,1,24.48,20.04,12.83,17.16,1.22,3.01,1.03,4.5,4.67,1.28
